threshold,branching_factor,n_clusters,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.5,50,4,0.0082132816314697,0.3705,269.7042,0.6783,0.6268,0.2568,0.6298,0.535,0.5386,0.4559,0.6578,0.5386,0.537,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,4,0.0082299709320068,0.3705,269.7042,0.6783,0.6268,0.2568,0.6298,0.535,0.5386,0.4559,0.6578,0.5386,0.537,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,4,0.0082423686981201,0.3705,269.7042,0.6783,0.6268,0.2568,0.6298,0.535,0.5386,0.4559,0.6578,0.5386,0.537,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,6,0.0082650184631347,0.5154,524.1351,0.6783,0.8706,0.64,1.1758,0.7744,0.7766,0.8512,0.714,0.7766,0.7258,,,skl_birch,zelnik5_y.zip
0.5,50,6,0.0082736015319824,0.5154,524.1351,0.6783,0.8706,0.64,1.1758,0.7744,0.7766,0.8512,0.714,0.7766,0.7258,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,6,0.0081956386566162,0.5154,524.1351,0.6783,0.8706,0.64,1.1758,0.7744,0.7766,0.8512,0.714,0.7766,0.7258,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,6,0.0081725120544433,0.5154,524.1351,0.6783,0.8706,0.64,1.1758,0.7744,0.7766,0.8512,0.714,0.7766,0.7258,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,8,0.0082263946533203,0.5643,750.5378,0.623,0.9082,0.7221,1.3814,0.8266,0.8288,1.0,0.7077,0.8288,0.7964,,,skl_birch,zelnik5_y.zip
0.5,50,8,0.0081300735473632,0.5643,750.5378,0.623,0.9082,0.7221,1.3814,0.8266,0.8288,1.0,0.7077,0.8288,0.7964,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,8,0.0081689357757568,0.5643,750.5378,0.623,0.9082,0.7221,1.3814,0.8266,0.8288,1.0,0.7077,0.8288,0.7964,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,8,0.0084216594696044,0.5643,750.5378,0.623,0.9082,0.7221,1.3814,0.8266,0.8288,1.0,0.7077,0.8288,0.7964,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,10,0.0081591606140136,0.5395,736.156,0.6046,0.8804,0.622,1.3814,0.7874,0.7903,1.0,0.6533,0.7903,0.7235,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,10,0.0080251693725585,0.5395,736.156,0.6046,0.8804,0.622,1.3814,0.7874,0.7903,1.0,0.6533,0.7903,0.7235,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,10,0.008115530014038,0.5395,736.156,0.6046,0.8804,0.622,1.3814,0.7874,0.7903,1.0,0.6533,0.7903,0.7235,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,12,0.008155345916748,0.5395,736.156,0.6046,0.8804,0.622,1.3814,0.7874,0.7903,1.0,0.6533,0.7903,0.7235,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,12,0.0081973075866699,0.5395,736.156,0.6046,0.8804,0.622,1.3814,0.7874,0.7903,1.0,0.6533,0.7903,0.7235,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,12,0.0082042217254638,0.5395,736.156,0.6046,0.8804,0.622,1.3814,0.7874,0.7903,1.0,0.6533,0.7903,0.7235,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,2,0.008094310760498,0.3709,234.9418,1.1925,0.4865,0.1023,0.2123,0.2186,0.221,0.1537,0.3932,0.221,0.475,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,2,0.0082707405090332,0.3709,234.9418,1.1925,0.4865,0.1023,0.2123,0.2186,0.221,0.1537,0.3932,0.221,0.475,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,2,0.0082695484161376,0.3709,234.9418,1.1925,0.4865,0.1023,0.2123,0.2186,0.221,0.1537,0.3932,0.221,0.475,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,4,0.0082132816314697,0.3705,269.7042,0.6783,0.6268,0.2568,0.6298,0.535,0.5386,0.4559,0.6578,0.5386,0.537,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,4,0.0082299709320068,0.3705,269.7042,0.6783,0.6268,0.2568,0.6298,0.535,0.5386,0.4559,0.6578,0.5386,0.537,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,4,0.0082423686981201,0.3705,269.7042,0.6783,0.6268,0.2568,0.6298,0.535,0.5386,0.4559,0.6578,0.5386,0.537,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,6,0.0082736015319824,0.5154,524.1351,0.6783,0.8706,0.64,1.1758,0.7744,0.7766,0.8512,0.714,0.7766,0.7258,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,6,0.0081956386566162,0.5154,524.1351,0.6783,0.8706,0.64,1.1758,0.7744,0.7766,0.8512,0.714,0.7766,0.7258,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,6,0.0081725120544433,0.5154,524.1351,0.6783,0.8706,0.64,1.1758,0.7744,0.7766,0.8512,0.714,0.7766,0.7258,inf,20.0,skl_birch,zelnik5_y.zip
0.5,50,8,0.0081300735473632,0.5643,750.5378,0.623,0.9082,0.7221,1.3814,0.8266,0.8288,1.0,0.7077,0.8288,0.7964,1000.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,8,0.0081689357757568,0.5643,750.5378,0.623,0.9082,0.7221,1.3814,0.8266,0.8288,1.0,0.7077,0.8288,0.7964,100.0,20.0,skl_birch,zelnik5_y.zip
0.5,50,8,0.0084216594696044,0.5643,750.5378,0.623,0.9082,0.7221,1.3814,0.8266,0.8288,1.0,0.7077,0.8288,0.7964,inf,20.0,skl_birch,zelnik5_y.zip
