n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0788488388061523,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,inf,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0894222259521484,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,,,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.1489059925079345,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,1000.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0861649513244628,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,100.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0535850524902343,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,inf,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.1069138050079345,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,,,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0859937667846679,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,1000.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0899548530578613,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,100.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0902853012084961,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,inf,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0912675857543945,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,,,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0894691944122314,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,1000.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.1256535053253173,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,100.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0743680000305175,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,inf,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0908081531524658,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,,,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0901000499725341,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,1000.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.1203572750091552,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,100.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0906517505645752,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,inf,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0944340229034423,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,,,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.083437442779541,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,1000.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.113520860671997,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,100.0,20.0,kmeans+dt,longsquare_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0623135566711425,0.5746,1844.0842,0.5167,0.9429,0.8181,1.5472,0.9226,0.9231,0.8636,0.9914,0.9231,0.8615,inf,20.0,kmeans+dt,longsquare_y.zip-8_True_k
