n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.3393702507019043,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.4109268188476562,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.3145742416381836,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.1367573738098145,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.1225497722625732,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.2666950225830078,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.2866175174713137,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.0847938060760498,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.0275964736938477,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.2564537525177002,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.21966552734375,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.2583768367767334,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.8907039165496826,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.0782310962677002,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.120340347290039,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.2263591289520264,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.270007848739624,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.2110118865966797,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.1202669143676758,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.003760576248169,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.1218104362487793,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.2010667324066162,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.9691574573516846,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.0931062698364258,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.0461421012878418,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.1911742687225342,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.1393368244171145,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.2118592262268066,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.312675714492798,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.131000280380249,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.0781049728393557,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.20879864692688,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.1228108406066897,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.1684603691101074,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.1082360744476318,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.1088433265686035,0.1028,512.5419,2.3005,0.6566,0.3172,0.5577,0.4542,0.4544,0.8103,0.3157,0.4544,0.5686,kmeans+dt,compas-scores-two-yearsONEHOT_y.zip-10_True_k
