n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
8,300,Cao,11,False,42,4,0.0805683135986328,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,,,kmodes,tetra_y.zip
8,300,Cao,11,False,42,4,0.0556142330169677,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,1000.0,20.0,kmodes,tetra_y.zip
8,300,Cao,11,False,42,4,0.0555059909820556,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,100.0,20.0,kmodes,tetra_y.zip
8,300,Cao,11,False,42,4,0.0559453964233398,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,inf,20.0,kmodes,tetra_y.zip
8,500,Cao,11,False,42,4,0.0785238742828369,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,,,kmodes,tetra_y.zip
8,500,Cao,11,False,42,4,0.0560345649719238,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,1000.0,20.0,kmodes,tetra_y.zip
8,500,Cao,11,False,42,4,0.0557029247283935,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,100.0,20.0,kmodes,tetra_y.zip
8,500,Cao,11,False,42,4,0.0556211471557617,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,inf,20.0,kmodes,tetra_y.zip
10,100,Cao,11,False,42,4,0.0645644664764404,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,1000.0,20.0,kmodes,tetra_y.zip
10,100,Cao,11,False,42,4,0.0648488998413086,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,100.0,20.0,kmodes,tetra_y.zip
10,100,Cao,11,False,42,4,0.0639300346374511,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,inf,20.0,kmodes,tetra_y.zip
10,300,Cao,11,False,42,4,0.0646810531616211,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,1000.0,20.0,kmodes,tetra_y.zip
10,300,Cao,11,False,42,4,0.0646464824676513,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,100.0,20.0,kmodes,tetra_y.zip
10,300,Cao,11,False,42,4,0.0644910335540771,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,inf,20.0,kmodes,tetra_y.zip
10,500,Cao,11,False,42,4,0.0645925998687744,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,1000.0,20.0,kmodes,tetra_y.zip
10,500,Cao,11,False,42,4,0.065225601196289,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,100.0,20.0,kmodes,tetra_y.zip
10,500,Cao,11,False,42,4,0.0646047592163086,-0.1664,0.2151,16.9191,0.3338,-0.001,0.0,-0.0469,0.0,0.0,0.0,0.0,0.4527,inf,20.0,kmodes,tetra_y.zip
12,100,Cao,11,False,42,4,0.0758383274078369,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,1000.0,20.0,kmodes,tetra_y.zip
12,100,Cao,11,False,42,4,0.0734589099884033,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,100.0,20.0,kmodes,tetra_y.zip
12,100,Cao,11,False,42,4,0.0734522342681884,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,inf,20.0,kmodes,tetra_y.zip
12,300,Cao,11,False,42,4,0.0734732151031494,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,1000.0,20.0,kmodes,tetra_y.zip
12,300,Cao,11,False,42,4,0.073240041732788,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,100.0,20.0,kmodes,tetra_y.zip
12,300,Cao,11,False,42,4,0.0735378265380859,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,inf,20.0,kmodes,tetra_y.zip
12,500,Cao,11,False,42,4,0.0726046562194824,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,1000.0,20.0,kmodes,tetra_y.zip
12,500,Cao,11,False,42,4,0.0728781223297119,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,100.0,20.0,kmodes,tetra_y.zip
12,500,Cao,11,False,42,4,0.0734069347381591,-0.1742,0.2427,16.4008,0.3518,-0.0012,0.0,-0.0546,0.0,0.0,0.0,0.0,0.4426,inf,20.0,kmodes,tetra_y.zip
2,100,Cao,11,False,42,4,0.0304932594299316,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,1000.0,20.0,kmodes,tetra_y.zip
2,100,Cao,11,False,42,4,0.0307550430297851,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,100.0,20.0,kmodes,tetra_y.zip
2,100,Cao,11,False,42,4,0.0317103862762451,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,inf,20.0,kmodes,tetra_y.zip
2,300,Cao,11,False,42,4,0.0308308601379394,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,1000.0,20.0,kmodes,tetra_y.zip
2,300,Cao,11,False,42,4,0.0309920310974121,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,100.0,20.0,kmodes,tetra_y.zip
2,300,Cao,11,False,42,4,0.031090497970581,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,inf,20.0,kmodes,tetra_y.zip
2,500,Cao,11,False,42,4,0.031191349029541,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,1000.0,20.0,kmodes,tetra_y.zip
2,500,Cao,11,False,42,4,0.0305008888244628,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,100.0,20.0,kmodes,tetra_y.zip
2,500,Cao,11,False,42,4,0.0302951335906982,-0.067,0.0528,15.8492,0.258,-0.0001,0.0,-0.0066,0.0,0.0,0.0,0.0,0.4931,inf,20.0,kmodes,tetra_y.zip
4,100,Cao,11,False,42,4,0.0383887290954589,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,1000.0,20.0,kmodes,tetra_y.zip
4,100,Cao,11,False,42,4,0.039271593093872,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,100.0,20.0,kmodes,tetra_y.zip
4,100,Cao,11,False,42,4,0.0394837856292724,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,inf,20.0,kmodes,tetra_y.zip
4,300,Cao,11,False,42,4,0.0388941764831543,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,1000.0,20.0,kmodes,tetra_y.zip
4,300,Cao,11,False,42,4,0.0391974449157714,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,100.0,20.0,kmodes,tetra_y.zip
4,300,Cao,11,False,42,4,0.0384976863861084,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,inf,20.0,kmodes,tetra_y.zip
4,500,Cao,11,False,42,4,0.0389034748077392,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,1000.0,20.0,kmodes,tetra_y.zip
4,500,Cao,11,False,42,4,0.0386915206909179,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,100.0,20.0,kmodes,tetra_y.zip
4,500,Cao,11,False,42,4,0.0384101867675781,-0.1109,0.1895,11.6765,0.2776,-0.0003,0.0,-0.0185,0.0,0.0,0.0,0.0,0.483,inf,20.0,kmodes,tetra_y.zip
6,100,Cao,11,False,42,4,0.0469825267791748,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,1000.0,20.0,kmodes,tetra_y.zip
6,100,Cao,11,False,42,4,0.0474450588226318,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,100.0,20.0,kmodes,tetra_y.zip
6,100,Cao,11,False,42,4,0.0472183227539062,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,inf,20.0,kmodes,tetra_y.zip
6,300,Cao,11,False,42,4,0.0472192764282226,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,1000.0,20.0,kmodes,tetra_y.zip
6,300,Cao,11,False,42,4,0.0469884872436523,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,100.0,20.0,kmodes,tetra_y.zip
6,300,Cao,11,False,42,4,0.0470533370971679,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,inf,20.0,kmodes,tetra_y.zip
6,500,Cao,11,False,42,4,0.0469648838043212,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,1000.0,20.0,kmodes,tetra_y.zip
6,500,Cao,11,False,42,4,0.0473785400390625,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,100.0,20.0,kmodes,tetra_y.zip
6,500,Cao,11,False,42,4,0.0471460819244384,-0.1414,0.2083,11.387,0.2967,-0.0005,0.0,-0.029,0.0,0.0,0.0,0.0,0.4729,inf,20.0,kmodes,tetra_y.zip
8,100,Cao,11,False,42,4,0.056835651397705,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,1000.0,20.0,kmodes,tetra_y.zip
8,100,Cao,11,False,42,4,0.0555658340454101,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,100.0,20.0,kmodes,tetra_y.zip
8,100,Cao,11,False,42,4,0.0555422306060791,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,inf,20.0,kmodes,tetra_y.zip
8,300,Cao,11,False,42,4,0.0556142330169677,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,1000.0,20.0,kmodes,tetra_y.zip
8,300,Cao,11,False,42,4,0.0555059909820556,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,100.0,20.0,kmodes,tetra_y.zip
8,300,Cao,11,False,42,4,0.0559453964233398,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,inf,20.0,kmodes,tetra_y.zip
8,500,Cao,11,False,42,4,0.0560345649719238,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,1000.0,20.0,kmodes,tetra_y.zip
8,500,Cao,11,False,42,4,0.0557029247283935,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,100.0,20.0,kmodes,tetra_y.zip
8,500,Cao,11,False,42,4,0.0556211471557617,-0.1506,0.2042,18.4253,0.3155,-0.0007,0.0,-0.0384,0.0,0.0,0.0,0.0,0.4628,inf,20.0,kmodes,tetra_y.zip
