n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,500,Cao,11,False,42,4,1000.0,20,14.232442617416382,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,500,Cao,11,False,42,4,100.0,20,13.93224811553955,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,500,Cao,11,False,42,4,inf,20,13.875840187072754,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,100,Cao,11,False,42,4,1000.0,20,17.13103199005127,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,100,Cao,11,False,42,4,100.0,20,17.472160816192627,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,100,Cao,11,False,42,4,inf,20,17.53796672821045,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,300,Cao,11,False,42,4,1000.0,20,17.478233337402344,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,300,Cao,11,False,42,4,100.0,20,17.09654927253723,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,300,Cao,11,False,42,4,inf,20,17.051121711730957,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,500,Cao,11,False,42,4,1000.0,20,17.105789184570312,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,500,Cao,11,False,42,4,100.0,20,17.51084065437317,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
10,500,Cao,11,False,42,4,inf,20,17.463372945785522,-0.0406,87.7792,15.852,0.5921,0.1896,0.3503,0.2533,0.2536,0.509,0.1689,0.2536,0.4514,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,100,Cao,11,False,42,4,1000.0,20,20.838090419769287,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,100,Cao,11,False,42,4,100.0,20,20.252959728240967,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,100,Cao,11,False,42,4,inf,20,20.379189491271973,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,300,Cao,11,False,42,4,1000.0,20,20.29592490196228,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,300,Cao,11,False,42,4,100.0,20,20.831815481185917,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,300,Cao,11,False,42,4,inf,20,20.778563022613525,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,500,Cao,11,False,42,4,1000.0,20,20.82580947875977,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,500,Cao,11,False,42,4,100.0,20,20.238312005996704,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
12,500,Cao,11,False,42,4,inf,20,20.278385877609253,-0.0411,76.5045,15.443,0.5837,0.1732,0.3518,0.2409,0.2413,0.5112,0.1579,0.2413,0.43,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,100,Cao,11,False,42,4,1000.0,20,3.322601318359375,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,100,Cao,11,False,42,4,100.0,20,3.39605712890625,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,100,Cao,11,False,42,4,inf,20,3.5332601070404053,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,300,Cao,11,False,42,4,1000.0,20,3.428908109664917,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,300,Cao,11,False,42,4,100.0,20,3.33548355102539,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,300,Cao,11,False,42,4,inf,20,3.3298163414001465,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,500,Cao,11,False,42,4,1000.0,20,3.31307315826416,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,500,Cao,11,False,42,4,100.0,20,3.4030628204345703,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
2,500,Cao,11,False,42,4,inf,20,3.395897150039673,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,100,Cao,11,False,42,4,1000.0,20,5.750187158584595,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,100,Cao,11,False,42,4,100.0,20,5.598311424255371,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,100,Cao,11,False,42,4,inf,20,5.5678558349609375,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,300,Cao,11,False,42,4,1000.0,20,5.619276523590088,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,300,Cao,11,False,42,4,100.0,20,5.745378255844116,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,300,Cao,11,False,42,4,inf,20,5.71316123008728,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,500,Cao,11,False,42,4,1000.0,20,5.750092744827271,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,500,Cao,11,False,42,4,100.0,20,5.570359468460083,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
4,500,Cao,11,False,42,4,inf,20,5.612780809402466,-0.0134,214.5756,9.9173,0.6644,0.331,0.2877,0.3002,0.3004,0.418,0.2344,0.3004,0.6121,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,100,Cao,11,False,42,4,1000.0,20,7.96854043006897,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,100,Cao,11,False,42,4,100.0,20,8.133486270904541,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,100,Cao,11,False,42,4,inf,20,8.135968923568726,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,300,Cao,11,False,42,4,1000.0,20,8.141751289367676,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,300,Cao,11,False,42,4,100.0,20,7.981216669082642,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,300,Cao,11,False,42,4,inf,20,7.966620445251465,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,500,Cao,11,False,42,4,1000.0,20,7.929950952529907,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,500,Cao,11,False,42,4,100.0,20,8.147129774093628,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
6,500,Cao,11,False,42,4,inf,20,8.167003393173218,-0.0333,131.2666,13.0032,0.6228,0.2494,0.3034,0.2641,0.2643,0.4409,0.1887,0.2643,0.5274,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,100,Cao,11,False,42,4,1000.0,20,14.249419689178469,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,100,Cao,11,False,42,4,100.0,20,13.912819147109984,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,100,Cao,11,False,42,4,inf,20,13.87108850479126,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,300,Cao,11,False,42,4,1000.0,20,13.857990026474,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,300,Cao,11,False,42,4,100.0,20,14.206046342849731,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,300,Cao,11,False,42,4,inf,20,14.234270572662354,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,500,Cao,11,False,42,4,1000.0,20,14.232442617416382,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,500,Cao,11,False,42,4,100.0,20,13.93224811553955,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
8,500,Cao,11,False,42,4,inf,20,13.875840187072754,-0.0319,112.8595,15.8752,0.6175,0.2395,0.3606,0.2811,0.2814,0.524,0.1923,0.2814,0.5039,kmodes,compas-scores-two-yearsONEHOT_y.zip
