n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0478014945983886,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0871860980987548,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0509712696075439,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,,,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0482606887817382,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0479128360748291,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0475683212280273,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0508458614349365,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,,,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0475111007690429,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0475168228149414,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0851304531097412,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.051492691040039,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,,,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0476341247558593,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0475037097930908,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0476965904235839,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0517845153808593,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,,,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0664987564086914,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.046929121017456,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.1112139225006103,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0508489608764648,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,,,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0477852821350097,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0879576206207275,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0885510444641113,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0508008003234863,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,,,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0485777854919433,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0475842952728271,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0499827861785888,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0509314537048339,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,,,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.065943956375122,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0527312755584716,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0479450225830078,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0475852489471435,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0503075122833251,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0477111339569091,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0478968620300293,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0480623245239257,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0552747249603271,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0476264953613281,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0473241806030273,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0484814643859863,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.047800064086914,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0516450405120849,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0487058162689209,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0861248970031738,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0478014945983886,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0871860980987548,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0482606887817382,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0479128360748291,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0475683212280273,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0475111007690429,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0475168228149414,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0851304531097412,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0476341247558593,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0475037097930908,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0476965904235839,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0664987564086914,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.046929121017456,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.1112139225006103,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0477852821350097,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0879576206207275,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0885510444641113,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0485777854919433,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0475842952728271,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0499827861785888,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.065943956375122,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,1000.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0527312755584716,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,100.0,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0479450225830078,0.455,4680.3019,0.7248,0.8807,0.6326,1.3726,0.7703,0.7708,0.8185,0.7284,0.7708,0.7171,inf,20.0,kmeans+dt,cure-t2-4k_y.zip-10_True_k
