n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0977485179901123,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,1000.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1025903224945068,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,100.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.092933177947998,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,inf,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1049525737762451,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,1000.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0789351463317871,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,100.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0837371349334716,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,inf,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1252830028533935,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,1000.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1010763645172119,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,100.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1008903980255127,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,inf,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1404297351837158,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,1000.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.0803391933441162,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,100.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.0803031921386718,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,inf,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1320283412933349,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,1000.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.10215425491333,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,100.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.0836753845214843,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,inf,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1629223823547363,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,1000.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.0989711284637451,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,100.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1188585758209228,0.3854,2018.7931,0.8347,0.483,0.1582,0.639,0.4827,0.4841,1.0,0.3193,0.4841,0.4652,inf,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0977485179901123,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,1000.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1025903224945068,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,100.0,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.092933177947998,0.3198,1659.5725,0.9616,0.4289,0.0733,0.4288,0.3192,0.321,0.671,0.211,0.321,0.3751,inf,20.0,skl_bis_kmeans,cure-t0-2000n-2D_y.zip-8_k
