n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0105330944061279,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,100.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0698492527008056,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,inf,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0726065635681152,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,1000.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1415998935699463,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,100.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.0659210681915283,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,inf,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.0761675834655761,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,1000.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.067760944366455,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,100.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.0665304660797119,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,inf,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.0776476860046386,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,1000.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.0670316219329834,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,100.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.0755131244659423,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,inf,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.0103919506072998,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,1000.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.0102424621582031,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,100.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.0759708881378173,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,inf,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.0103578567504882,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,1000.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.010200023651123,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,100.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.0104877948760986,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,inf,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0106236934661865,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,1000.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0105330944061279,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,100.0,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0698492527008056,0.4686,921.5263,0.7536,0.6871,0.397,0.5022,0.5211,0.5218,0.3924,0.7787,0.5218,0.6591,inf,20.0,skl_bis_kmeans,triangle2_y.zip-2_k
