threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,2,inf,20,1.6607296466827393,0.7923,5678.4303,0.2768,0.6395,0.021,0.007,0.0239,0.024,0.0127,0.2265,0.024,0.7975,skl_birch,adultONEHOT_y.zip
0.5,50,4,1000.0,20,1.6624770164489746,0.1431,6624.941,1.282,0.6164,0.1843,0.0443,0.0709,0.071,0.0803,0.0636,0.071,0.692,skl_birch,adultONEHOT_y.zip
0.5,50,4,100.0,20,1.6573896408081057,0.1431,6624.941,1.282,0.6164,0.1843,0.0443,0.0709,0.071,0.0803,0.0636,0.071,0.692,skl_birch,adultONEHOT_y.zip
0.5,50,4,inf,20,1.649064064025879,0.1431,6624.941,1.282,0.6164,0.1843,0.0443,0.0709,0.071,0.0803,0.0636,0.071,0.692,skl_birch,adultONEHOT_y.zip
0.5,50,6,1000.0,20,1.648198127746582,0.1585,6474.5115,1.5094,0.4749,0.0661,0.0473,0.0471,0.0471,0.0857,0.0325,0.0471,0.4575,skl_birch,adultONEHOT_y.zip
0.5,50,6,100.0,20,1.648430585861206,0.1585,6474.5115,1.5094,0.4749,0.0661,0.0473,0.0471,0.0471,0.0857,0.0325,0.0471,0.4575,skl_birch,adultONEHOT_y.zip
0.5,50,6,inf,20,1.6561648845672607,0.1585,6474.5115,1.5094,0.4749,0.0661,0.0473,0.0471,0.0471,0.0857,0.0325,0.0471,0.4575,skl_birch,adultONEHOT_y.zip
0.5,50,8,1000.0,20,1.6484675407409668,0.1756,6459.4301,1.193,0.4684,0.0656,0.0596,0.0539,0.054,0.1079,0.036,0.054,0.4406,skl_birch,adultONEHOT_y.zip
0.5,50,8,100.0,20,1.644636869430542,0.1756,6459.4301,1.193,0.4684,0.0656,0.0596,0.0539,0.054,0.1079,0.036,0.054,0.4406,skl_birch,adultONEHOT_y.zip
0.5,50,8,inf,20,1.6475498676300049,0.1756,6459.4301,1.193,0.4684,0.0656,0.0596,0.0539,0.054,0.1079,0.036,0.054,0.4406,skl_birch,adultONEHOT_y.zip
