n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.412890911102295,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.3225934505462646,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.3998563289642334,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.361064910888672,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.4107766151428225,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.2586073875427246,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.3761303424835205,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.3304378986358645,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.71372652053833,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.2342424392700195,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.3940227031707764,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.313441276550293,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.428743600845337,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.4938974380493164,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.340425968170166,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.3977694511413574,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.3135952949523926,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.3576955795288086,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.3049685955047607,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.3609044551849363,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.3020260334014893,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.4856698513031006,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.297544240951538,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.469646453857422,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.3268988132476809,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.5014965534210205,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.3033161163330078,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.4031715393066406,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.46226167678833,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.3774986267089844,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.2736830711364746,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.4196248054504397,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.4927988052368164,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.3769991397857666,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.3114244937896729,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.229762077331543,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.412890911102295,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.3225934505462646,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.3998563289642334,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.361064910888672,0.1532,2637.5188,1.7873,0.4566,0.0456,0.0742,0.0692,0.0693,0.1344,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.4107766151428225,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.2586073875427246,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
10,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.3761303424835205,0.1574,2633.3282,1.6462,0.4566,0.0456,0.0741,0.0692,0.0693,0.1342,0.0467,0.0693,0.4249,kmeans+dt,adultONEHOT_y.zip-10_True_k
