n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.0344431400299072,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,0.976172924041748,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.1950397491455078,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.9564340114593506,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.144806146621704,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.146028995513916,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,0.9623427391052246,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.9631016254425048,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.0871195793151855,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.0120933055877686,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.011979341506958,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.1184837818145752,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,0.8231971263885498,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.049241304397583,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.107395887374878,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.881622314453125,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.096137523651123,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.9880664348602296,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.2011544704437256,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.1046879291534424,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.0116088390350342,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.0461959838867188,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,0.9705510139465332,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.1565535068511963,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.152461290359497,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.0737171173095703,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.081909418106079,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.017826795578003,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.0717899799346924,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.1003963947296145,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.06186842918396,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.2615199089050293,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,0.9769840240478516,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.088102102279663,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.0209684371948242,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,0.9881939888000488,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.0344431400299072,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,0.976172924041748,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.1950397491455078,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.9564340114593506,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.144806146621704,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.146028995513916,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,0.9623427391052246,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.9631016254425048,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.0871195793151855,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.0120933055877686,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.011979341506958,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.1184837818145752,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,0.8231971263885498,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.049241304397583,0.035,92.3496,2.84,0.3059,0.0124,0.0311,0.0197,0.0213,0.0751,0.0124,0.0213,0.2872,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.107395887374878,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.881622314453125,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.096137523651123,0.0343,91.7381,2.7261,0.3065,0.0127,0.0308,0.0197,0.0212,0.0745,0.0124,0.0212,0.2886,kmeans+dt,churnONEHOT_y.zip-12_True_k
