max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,5,20,20,0.0,42,me,r2,0.7154946327209473,0.2376,199.402,1.1001,0.3885,0.0229,0.0808,0.0879,0.0897,0.0583,0.1948,0.0897,0.4494,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.1,42,entropy,mape,2.2992806434631348,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.1,42,entropy,r2,2.2431581020355225,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.1,42,gini,mape,2.280442953109741,-0.0377,84.5011,3.4379,0.7197,0.1213,0.3212,0.1763,0.184,0.2318,0.1525,0.184,0.29,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.1,42,gini,r2,2.3116796016693115,-0.0377,84.5011,3.4379,0.7197,0.1213,0.3212,0.1763,0.184,0.2318,0.1525,0.184,0.29,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.1,42,me,mape,2.0597286224365234,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.1,42,me,r2,2.031826972961426,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.2,42,entropy,mape,2.2514913082122803,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.2,42,entropy,r2,2.347977876663208,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.2,42,gini,mape,2.0724713802337646,-0.0303,84.5747,3.8126,0.7222,0.1272,0.3277,0.1799,0.1875,0.2365,0.1553,0.1875,0.2944,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.2,42,gini,r2,2.0912599563598637,-0.0303,84.5747,3.8126,0.7222,0.1272,0.3277,0.1799,0.1875,0.2365,0.1553,0.1875,0.2944,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.2,42,me,mape,2.0852861404418945,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,30,5,20,20,0.2,42,me,r2,2.037078380584717,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.0,42,entropy,mape,2.704859733581543,-0.0303,87.966,2.587,0.7008,0.1373,0.3405,0.2063,0.2137,0.2457,0.1891,0.2137,0.3284,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.0,42,entropy,r2,2.6734988689422607,-0.0303,87.966,2.587,0.7008,0.1373,0.3405,0.2063,0.2137,0.2457,0.1891,0.2137,0.3284,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.0,42,gini,mape,2.492063522338867,0.0053,99.2417,2.7465,0.7049,0.1425,0.366,0.221,0.2271,0.2641,0.1991,0.2271,0.33,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.0,42,gini,r2,2.500739812850952,0.0053,99.2417,2.7465,0.7049,0.1425,0.366,0.221,0.2271,0.2641,0.1991,0.2271,0.33,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.0,42,me,mape,0.7829816341400146,0.2376,199.402,1.1001,0.3885,0.0229,0.0808,0.0879,0.0897,0.0583,0.1948,0.0897,0.4494,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.0,42,me,r2,0.7156813144683838,0.2376,199.402,1.1001,0.3885,0.0229,0.0808,0.0879,0.0897,0.0583,0.1948,0.0897,0.4494,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.1,42,entropy,mape,2.2632460594177246,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.1,42,entropy,r2,2.3017115592956543,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.1,42,gini,mape,2.253542423248291,-0.0377,84.5011,3.4379,0.7197,0.1213,0.3212,0.1763,0.184,0.2318,0.1525,0.184,0.29,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.1,42,gini,r2,2.267607927322388,-0.0377,84.5011,3.4379,0.7197,0.1213,0.3212,0.1763,0.184,0.2318,0.1525,0.184,0.29,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.1,42,me,mape,2.087008476257324,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.1,42,me,r2,2.059165477752685,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.2,42,entropy,mape,2.248520374298096,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.2,42,entropy,r2,2.291606903076172,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.2,42,gini,mape,2.0942704677581787,-0.0303,84.5747,3.8126,0.7222,0.1272,0.3277,0.1799,0.1875,0.2365,0.1553,0.1875,0.2944,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.2,42,gini,r2,2.126684188842773,-0.0303,84.5747,3.8126,0.7222,0.1272,0.3277,0.1799,0.1875,0.2365,0.1553,0.1875,0.2944,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.2,42,me,mape,2.029059410095215,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,3,50,20,20,0.2,42,me,r2,2.0838699340820312,-0.0545,56.3393,4.641,0.7149,0.1103,0.2823,0.1542,0.1621,0.2038,0.1345,0.1621,0.282,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.0,42,entropy,mape,2.934103012084961,-0.0427,80.3597,2.4976,0.7006,0.1357,0.3407,0.2034,0.2118,0.2458,0.186,0.2118,0.3266,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.0,42,entropy,r2,2.8245632648468018,-0.0427,80.3597,2.4976,0.7006,0.1357,0.3407,0.2034,0.2118,0.2458,0.186,0.2118,0.3266,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.0,42,gini,mape,2.8007333278656006,-0.026,79.3445,2.5511,0.7049,0.1406,0.3688,0.2176,0.2256,0.2662,0.1958,0.2256,0.3279,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.0,42,gini,r2,2.834770441055298,-0.026,79.3445,2.5511,0.7049,0.1406,0.3688,0.2176,0.2256,0.2662,0.1958,0.2256,0.3279,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.0,42,me,mape,0.6778900623321533,0.2376,199.402,1.1001,0.3885,0.0229,0.0808,0.0879,0.0897,0.0583,0.1948,0.0897,0.4494,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.0,42,me,r2,0.7086963653564453,0.2376,199.402,1.1001,0.3885,0.0229,0.0808,0.0879,0.0897,0.0583,0.1948,0.0897,0.4494,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.1,42,entropy,mape,2.3324828147888184,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.1,42,entropy,r2,2.292595386505127,-0.0054,97.572,3.3697,0.7236,0.1291,0.341,0.1871,0.1946,0.2461,0.161,0.1946,0.2953,ImpurityParTree2,vehicle_y.zip
10,10,3,5,20,20,0.1,42,gini,mape,2.328990936279297,-0.0377,84.5011,3.4379,0.7197,0.1213,0.3212,0.1763,0.184,0.2318,0.1525,0.184,0.29,ImpurityParTree2,vehicle_y.zip
