n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
6,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1007907390594482,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,100.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1019549369812011,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,inf,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1012244224548339,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,1000.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1345818042755127,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,100.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1038665771484375,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,inf,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1159029006958007,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,1000.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1313164234161377,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,100.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1052372455596923,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,inf,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1457822322845459,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,1000.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1032419204711914,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,100.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1059386730194091,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,inf,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.0879161357879638,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,1000.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1068942546844482,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,100.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1156740188598632,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,inf,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1094884872436523,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,1000.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1014151573181152,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,100.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1066954135894775,0.4339,1164.0718,0.8842,0.8923,0.6627,1.3396,0.7761,0.7787,0.7905,0.7672,0.7787,0.7321,inf,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1004040241241455,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,1000.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1007907390594482,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,100.0,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1019549369812011,0.4615,1133.3179,0.7392,0.8775,0.6123,1.3228,0.7624,0.7651,0.7806,0.7502,0.7651,0.6912,inf,20.0,skl_bis_kmeans,aggregation_y.zip-6_k
