n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,13.06303882598877,0.1297,9647.7296,1.8056,0.3956,0.0055,0.0559,0.0382,0.0383,0.1013,0.0236,0.0383,0.2572,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,12.721520900726318,0.1434,10480.5141,1.9052,0.3951,0.0047,0.0545,0.037,0.0372,0.0987,0.0229,0.0372,0.2564,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,12.84519624710083,0.1434,10480.5141,1.9052,0.3951,0.0047,0.0545,0.037,0.0372,0.0987,0.0229,0.0372,0.2564,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,13.206554174423218,0.1424,10478.3895,1.7637,0.3964,0.0012,0.046,0.0323,0.0324,0.0833,0.0201,0.0324,0.2676,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,12.833430290222168,0.1434,10480.5141,1.9052,0.3951,0.0047,0.0545,0.037,0.0372,0.0987,0.0229,0.0372,0.2564,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,12.929431676864624,0.1434,10480.5141,1.9052,0.3951,0.0047,0.0545,0.037,0.0372,0.0987,0.0229,0.0372,0.2564,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,12.95053744316101,0.1297,9647.7296,1.8056,0.3956,0.0055,0.0559,0.0382,0.0383,0.1013,0.0236,0.0383,0.2572,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,12.613906145095823,0.1297,9647.7296,1.8056,0.3956,0.0055,0.0559,0.0382,0.0383,0.1013,0.0236,0.0383,0.2572,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,13.203045845031738,0.1177,9565.7095,1.8007,0.3965,0.0074,0.0492,0.0336,0.0337,0.0892,0.0208,0.0337,0.2582,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,100,15.134331703186035,0.1297,9647.7296,1.8056,0.3956,0.0055,0.0559,0.0382,0.0383,0.1013,0.0236,0.0383,0.2572,skl_bis_kmeans,adult_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,13.151676654815674,0.1297,9647.7296,1.8056,0.3956,0.0055,0.0559,0.0382,0.0383,0.1013,0.0236,0.0383,0.2572,skl_bis_kmeans,adult_y.zip-12_k
